Age,Map
1,1
2,3
3,3
4,3
5,7
6,7
7,7
8,7
9,7
10,12
11,12
12,12
13,12
14,12
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,65
63,65
64,65
65,65
66,70
67,70
68,70
69,70
70,70
71,70
72,70
73,70
74,70
75,80
76,80
77,80
78,80
79,80
80,80
81,80
82,80
83,80
84,80
85,90
86,90
87,90
88,90
89,90
90,90
91,90
92,90
93,90
94,90
95,90
96,90
97,90
98,90
99,90
100,90
101,90
102,90
103,90
104,90
105,90
106,90
107,90
108,90
109,90
110,90
111,90
112,90
113,90
114,90
115,90
116,90
117,90
